Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	tree_length
0	-431.0092	-585.8067	154.7975	0.344391	0.458837	0.541163	0.655609	7.967257	0.00133755	0.0267955	0.00216088	0.00889764	0.00185328	0.000817109	0.00359606	0.0138149	0.0165849	0.00272955	0.0084462	0.00284323	0.0303283	0.00672836	0.00420083	0.0275664	0.000519159	0.00129139	0.00249477	0.00747912	0.0119305	0.0151229	0.00272624	0.0108618	0.00233165	0.0034126	0.00353616	0.00220243	0.00324085	0.00389976	0.00561269	0.000803435	0.00537072	0.0024755	0.0116495	0.013932	0.00245582	0.00879059	0.00715274	0.00922504	0.0116909	0.00199201	0.00385218	0.00446646	0.00945161	0.0155274	0.0108605	0.0189744	0.00196047	0.00191431	0.0481222	0.0391918	0.000591461	0.00234024	0.00516349	0.0159571	0.00553231	0.0025934	0.0108352	0.00165402	0.0126719	0.0035702	0.0246079	0.00554434	0.00380718	0.00767588	0.0173092	0.0241938	0.00111527	0.0199682	0.00578341	0.00828039	0.0133233	0.00389606	0.00271337	0.0207096	0.0149031	0.0069759	0.0561251	0.00546968	0.0123789	0.0142718	0.00296593	0.027853	0.00485152	0.00502832	0.0172255	0.0206834	0.0202284	0.0122576	0.000524305	0.252521	0.646371	0.0461908	0.0549169	0.05719	0.247709	0.647025	1.54554	4.037	17.4856	2.068972	0.00147502	0.0295495	0.00238296	0.00981211	0.00204375	0.000901089	0.00396566	0.0152347	0.0182895	0.00301008	0.00931427	0.00313545	0.0334453	0.00741988	0.00463258	0.0303995	0.000572516	0.00142411	0.00275118	0.0082478	0.0131567	0.0166772	0.00300644	0.0119781	0.00257129	0.00376334	0.00389959	0.00242879	0.00357394	0.00430057	0.00618955	0.000886009	0.0059227	0.00272992	0.0128468	0.0153639	0.00270822	0.00969406	0.00788788	0.0101732	0.0128924	0.00219674	0.0042481	0.0049255	0.010423	0.0171233	0.0119767	0.0209246	0.00216196	0.00211106	0.0530681	0.0432198	0.000652249	0.00258077	0.00569418	0.0175971	0.00610091	0.00285994	0.0119488	0.00182402	0.0139742	0.00393714	0.027137	0.00611417	0.00419847	0.00846478	0.0190882	0.0266804	0.00122989	0.0220204	0.00637781	0.00913143	0.0146926	0.00429649	0.00299224	0.0228381	0.0164347	0.00769286	0.0618934	0.00603184	0.0136511	0.0157386	0.00327076	0.0307156	0.00535015	0.00554511	0.0189959	0.0228092	0.0223074	0.0135173	0.000578191	0.9068018
36	-433.3564	-590.6755	157.3191	0.181969	0.403486	0.596515	0.81803	1.585882	0.00383615	0.0577404	0.00589065	0.013491	0.00187414	0.000586305	0.00200607	0.0315685	0.0280148	0.00412645	0.0128991	0.00370088	0.0431749	0.000535999	0.0261139	0.0142136	0.00274104	0.0392801	0.00405308	0.0276957	0.0329869	0.00738185	0.00576768	0.021855	0.0138363	0.0376456	0.0219064	0.00086554	0.00112227	0.00200512	0.0450015	0.0290409	0.0101978	0.00704904	0.02575	0.00886477	0.0165655	0.011076	0.00261316	0.0103293	0.0165139	0.0521744	0.00623574	0.00616603	0.00764181	0.0426621	0.0417625	0.0216592	0.0503479	0.0105712	0.19237	0.0657417	8.93108e-05	0.0196368	0.0102211	0.0314103	0.00417097	0.000858637	0.00981998	0.00107774	0.0279606	0.00393742	0.0139159	0.0262246	0.0191857	0.0213536	0.00752015	0.0568807	0.000407368	0.0573334	0.0330327	0.00543752	0.00291067	0.0820672	0.00418528	0.0120441	0.0252369	0.0054049	0.0873697	0.0536602	0.010535	0.028671	0.0444539	0.0262137	0.0255404	0.000831888	0.000747371	0.0129204	0.0314528	0.00971865	0.0141877	0.43465	0.467063	0.0963082	0.00197896	0.169689	0.421018	0.763464	1.30982	2.37519	5.89312	1.282569	0.00193953	0.0291931	0.00297827	0.00682097	0.000947552	0.000296432	0.00101425	0.0159608	0.0141641	0.0020863	0.0065217	0.00187114	0.0218289	0.000270997	0.013203	0.0071863	0.00138585	0.0198598	0.00204921	0.0140028	0.0166779	0.00373221	0.0029161	0.0110497	0.00699555	0.0190333	0.0110757	0.000437611	0.000567411	0.00101377	0.0227524	0.0146829	0.00515596	0.00356394	0.013019	0.00448196	0.00837538	0.00559992	0.00132119	0.00522243	0.00834932	0.026379	0.00315275	0.0031175	0.00386365	0.0215697	0.0211148	0.0109507	0.0254555	0.00534473	0.0972609	0.0332385	4.51549e-05	0.00992822	0.0051677	0.0158808	0.00210881	0.000434121	0.00496491	0.000544895	0.0141367	0.00199073	0.00703579	0.013259	0.00970015	0.0107962	0.00380213	0.0287585	0.000205962	0.0289873	0.0167011	0.00274917	0.00147162	0.0414926	0.00211605	0.00608942	0.0127596	0.00273268	0.0441735	0.0271302	0.00532644	0.0144958	0.0224756	0.0132534	0.012913	0.000420597	0.000377865	0.00653244	0.0159023	0.00491368	0.00717318	1.977876
72	-440.4244	-598.8152	158.3907	0.154061	0.390583	0.609418	0.845938	1.265572	0.000140132	0.0247265	0.00162777	0.00711682	0.00101839	0.000974003	0.00199964	0.0129919	0.0187463	0.0137467	0.00878633	0.00937902	0.0248496	0.000328877	0.00754278	0.0172196	0.0050668	0.00625857	0.0133163	0.0153987	0.00151579	0.00526074	0.00828169	0.00830423	0.000574316	0.00634715	0.00901576	0.00770444	0.00566569	0.00808827	8.03029e-05	0.0190755	0.00600064	0.0191984	0.0137751	0.00410546	0.000165044	0.00933812	0.00125404	0.00225522	0.0047318	0.0066974	0.0029657	0.00192883	0.0143635	0.0433209	0.0161694	0.0106353	0.00195853	0.0297851	0.00311647	0.0155328	0.00580977	0.00488809	0.0144092	0.00926377	0.00270317	0.00626673	0.00301061	0.00155084	0.0124511	0.00226894	0.00262699	0.00042506	0.00504854	0.00586764	0.0166944	0.0131823	0.0127587	0.00163129	0.0189636	0.000154724	0.00982143	0.00170386	0.00324661	0.000100842	0.0313636	0.000431703	0.0161809	0.00104205	0.0153947	0.0728263	0.0134814	0.0036678	0.0224318	0.033606	0.00332445	0.00596692	0.00287094	0.00158702	0.0130288	0.129652	0.433939	0.427901	0.00850795	0.0735026	0.279958	0.672207	1.48764	3.57196	13.605	1.887524	0.000160979	0.028405	0.00186993	0.00817557	0.00116989	0.0011189	0.00229713	0.0149246	0.0215351	0.0157918	0.0100934	0.0107743	0.0285465	0.000377803	0.00866489	0.0197813	0.00582057	0.00718964	0.0152973	0.0176895	0.00174129	0.00604336	0.00951373	0.00953962	0.000659755	0.0072914	0.010357	0.0088506	0.00650856	0.00929154	9.22494e-05	0.0219133	0.00689333	0.0220545	0.0158243	0.00471622	0.000189597	0.0107273	0.0014406	0.00259072	0.00543574	0.00769375	0.0034069	0.00221577	0.0165003	0.0497656	0.0185748	0.0122175	0.00224989	0.0342161	0.0035801	0.0178435	0.00667407	0.00561527	0.0165529	0.0106419	0.00310531	0.00719901	0.00345849	0.00178155	0.0143034	0.00260648	0.0030178	0.000488295	0.0057996	0.00674055	0.0191779	0.0151434	0.0146567	0.00187397	0.0217848	0.000177742	0.0112825	0.00195734	0.0037296	0.000115844	0.0360294	0.000495926	0.0185881	0.00119707	0.0176849	0.0836604	0.015487	0.00421345	0.0257689	0.0386055	0.00381901	0.0068546	0.00329804	0.00182312	0.014967	0.8704987
108	-446.0015	-602.3945	156.393	0.278723	0.439119	0.560881	0.721277	3.740467	0.000405681	0.00552571	0.000918774	0.00227845	0.00220193	9.4956e-05	0.001358	0.000531519	0.0185967	0.00383699	0.0162766	0.000460406	0.0285911	0.000531466	0.00490752	0.00993911	0.00264619	0.00234528	0.0075495	0.00564255	0.000743612	0.00835163	0.000944552	0.00717786	0.00226757	0.00641055	0.0114008	0.00798015	0.00158694	0.00569984	0.015902	0.00223225	0.00106645	0.00495057	0.00636007	0.000232453	0.00157942	0.00305642	6.19254e-05	0.00561593	0.0071181	0.00534856	0.00190175	0.0019264	0.0072523	0.0330962	0.0282515	0.00125953	0.00107225	0.00196094	0.0362751	0.00660268	0.0138008	0.00316824	0.0184231	0.000507465	0.00419946	0.0280089	0.0132693	0.0100534	0.041499	0.00290913	0.00572703	0.00595775	0.00259209	0.0172252	0.0040764	0.0039284	0.010749	0.000325568	0.0162967	0.00116372	0.00777778	0.0132666	0.0054128	0.0022558	6.8493e-05	0.00708333	0.00182423	0.000571019	0.0172037	0.0126808	0.0131857	0.00578537	0.00158762	0.00102565	0.00754306	0.00172341	0.00102656	0.00144817	0.00780983	0.352938	0.560313	0.0667604	0.0199883	0.0393952	0.206535	0.611351	1.63572	4.84179	25.3838	2.338486	0.000620795	0.00845576	0.00140596	0.00348661	0.00336952	0.000145307	0.00207809	0.00081336	0.0284578	0.00587158	0.0249074	0.000704539	0.0437517	0.000813279	0.00750976	0.0152094	0.00404935	0.00358888	0.0115527	0.00863455	0.00113792	0.0127801	0.00144541	0.010984	0.00346997	0.00980978	0.0174461	0.0122117	0.00242842	0.00872222	0.0243341	0.00341591	0.00163195	0.00757563	0.00973254	0.000355712	0.00241691	0.00467711	9.47618e-05	0.00859381	0.0108925	0.00818467	0.00291017	0.00294789	0.0110979	0.0506456	0.043232	0.0019274	0.00164081	0.00300074	0.0555102	0.0101038	0.0211188	0.00484822	0.0281921	0.000776551	0.00642624	0.0428608	0.0203054	0.0153842	0.063504	0.00445171	0.00876383	0.00911688	0.00396656	0.026359	0.00623794	0.00601146	0.0164487	0.000498203	0.0249381	0.00178079	0.011902	0.0203014	0.00828297	0.00345195	0.000104812	0.0108393	0.00279154	0.000873806	0.0263261	0.0194048	0.0201775	0.0088531	0.00242946	0.00156951	0.0115428	0.00263725	0.0015709	0.00221608	0.011951	0.6534853
144	-431.3896	-585.2658	153.8762	0.371659	0.466442	0.533559	0.62834	11.8913	0.00167044	0.0176415	0.00270696	0.0025736	0.00431863	0.00450565	0.00264966	0.0074591	0.01821	0.00208116	0.00619774	0.0124883	0.00856823	9.0582e-05	0.00570399	0.0159017	0.00319453	0.00558574	0.00111436	0.0207342	0.00311524	0.00528635	0.000350184	0.00405515	0.000145752	0.0161312	0.00554205	0.00034235	0.00304755	0.00270011	0.000270412	0.00262488	0.000696935	0.00983332	0.0158993	0.000519101	0.00115264	0.00439423	0.00245117	0.00142461	0.0112701	0.00174911	0.00369178	0.00136195	0.00976178	0.00695767	0.0151305	0.00158655	0.000405881	0.00592206	0.0187222	0.00211505	0.000843016	0.00881961	0.00575681	0.0124773	0.00244464	0.0115898	0.00452168	0.00401121	0.00828931	0.000226028	0.00223812	0.00393569	0.011198	0.00280186	0.00738483	0.00340165	0.0198187	0.00814615	0.0194874	0.003004	0.00316129	0.0120951	0.0205763	0.00218348	0.0184096	0.0014211	0.0101319	0.00249018	0.0100855	0.0691096	0.00344595	0.00133225	0.00582262	0.0379066	0.0012898	0.0109494	0.00860431	0.00794815	0.00904709	0.651392	0.207171	0.120401	0.0210364	0.0550834	0.243216	0.643341	1.55439	4.11157	18.1543	2.096109	0.00246211	0.0260023	0.00398986	0.0037933	0.00636535	0.006641	0.00390542	0.0109942	0.0268403	0.00306748	0.00913503	0.0184068	0.012629	0.000133511	0.00840728	0.0234379	0.00470851	0.00823297	0.00164248	0.0305608	0.00459164	0.0077917	0.000516146	0.005977	0.000214827	0.0237763	0.00816858	0.000504599	0.00449187	0.00397978	0.000398567	0.00386889	0.00102723	0.0144936	0.0234345	0.000765117	0.00169891	0.00647678	0.00361286	0.00209978	0.0166113	0.00257806	0.00544142	0.00200742	0.0143882	0.0102551	0.0223013	0.00233846	0.000598239	0.00872869	0.0275951	0.00311743	0.00124255	0.0129995	0.00848513	0.0183906	0.00360323	0.0170826	0.00666463	0.00591223	0.0122179	0.000333149	0.00329883	0.00580093	0.016505	0.00412975	0.0108847	0.00501379	0.0292113	0.0120068	0.028723	0.00442768	0.00465952	0.0178273	0.030328	0.00321829	0.0271344	0.0020946	0.0149337	0.00367034	0.0148653	0.101863	0.00507908	0.00196364	0.00858213	0.0558716	0.00190108	0.0161386	0.0126821	0.011715	0.0133348	0.6784591
180	-435.5678	-593.9875	158.4197	0.120861	0.37255	0.62745	0.879139	0.966532	0.00155448	0.0179954	0.0089601	0.000362281	0.00331188	0.00670568	0.0018568	0.00507053	0.00721302	0.00417859	0.00249998	0.00174637	0.0278652	0.00146477	0.00227843	0.00594483	0.00352729	0.00502154	0.00184181	0.0107744	0.00234812	0.00118896	0.000147416	0.00165129	0.00303723	0.0147483	0.0125623	0.00350575	0.00100733	0.00526428	0.00824752	0.010065	0.0111857	0.0145324	0.00776973	0.0106178	0.00443845	0.00741014	0.00303133	0.00590142	0.0186084	0.00159891	0.0221524	0.00117243	0.0207563	0.0210449	0.0217092	0.0102624	0.00017518	0.0111539	0.0140978	0.00430875	0.00561108	0.0221457	0.0202155	0.00489569	0.103266	0.0382315	0.0129866	0.00288724	0.002098	0.016203	0.00154291	0.00518207	0.00654643	0.00435102	0.00145907	0.00160797	0.012337	0.0136186	0.00815565	0.0188273	0.0162802	0.000893292	0.0517342	0.00461346	0.00160075	0.00174367	0.00902556	0.0072905	0.00200272	0.0199115	0.0362148	0.00182118	0.00869513	0.0455275	0.00426724	0.0135588	0.0438492	0.00180698	0.0124689	0.352255	0.285421	0.172173	0.190151	0.0590405	0.251586	0.650168	1.53807	3.97478	16.9375	2.045946	0.00158403	0.0183374	0.0091304	0.000369166	0.00337482	0.00683313	0.00189209	0.0051669	0.00735012	0.00425801	0.00254749	0.00177956	0.0283948	0.00149261	0.00232174	0.00605782	0.00359433	0.00511698	0.00187681	0.0109792	0.00239275	0.00121156	0.000150218	0.00168267	0.00309496	0.0150286	0.0128011	0.00357239	0.00102648	0.00536434	0.00840427	0.0102563	0.0113983	0.0148086	0.0079174	0.0108196	0.00452281	0.00755098	0.00308895	0.00601359	0.0189621	0.0016293	0.0225734	0.00119472	0.0211508	0.0214449	0.0221219	0.0104575	0.000178509	0.0113659	0.0143657	0.00439064	0.00571772	0.0225666	0.0205997	0.00498874	0.105229	0.0389581	0.0132334	0.00294212	0.00213787	0.016511	0.00157223	0.00528056	0.00667085	0.00443372	0.0014868	0.00163854	0.0125715	0.0138775	0.00831066	0.0191852	0.0165896	0.000910271	0.0527175	0.00470115	0.00163117	0.00177681	0.0091971	0.00742907	0.00204079	0.0202899	0.0369031	0.00185579	0.0088604	0.0463929	0.00434834	0.0138165	0.0446826	0.00184133	0.0127059	0.981348
216	-432.5001	-591.0751	158.575	0.129599	0.377647	0.622352	0.870402	1.038329	0.000121634	0.00649815	0.000370156	0.00291889	0.00259298	0.000212141	0.00203243	0.0019424	0.00528302	3.29253e-05	0.00562199	0.00868293	0.0121214	0.000105048	0.00040334	0.0160963	0.00113047	0.0038417	0.00770808	0.011773	0.00227458	0.00334025	0.00137038	0.00274106	0.0137373	0.00893409	0.0184963	0.00234293	0.000998916	0.00853443	0.0130852	0.00122438	0.00274626	0.0129592	0.00108436	0.00254233	0.00219832	0.00627719	0.000542457	0.000118547	0.012898	0.0038318	0.00578581	0.00158442	0.0104429	0.00794316	0.0140894	0.000288685	0.00746037	0.00165527	0.019656	0.00116971	0.00638089	0.00166948	0.0161487	0.00634762	0.0653291	0.0273301	0.00195869	0.00555912	0.00242944	0.00139192	0.000247818	0.00166505	0.0147201	0.0140386	0.00129252	0.000334985	0.00975742	0.00312953	0.00836477	0.00259016	0.0104765	0.0111108	0.00757212	0.0141826	0.00292583	0.0058675	0.00643752	0.00737359	0.0049308	0.00519677	0.00392014	0.00293337	0.00268473	0.00364529	0.00372222	0.00936475	0.00758221	0.00117592	0.00975076	0.199758	0.370685	0.258006	0.171551	0.0554137	0.243927	0.643926	1.55297	4.0996	18.0461	2.091786	0.000204984	0.010951	0.000623807	0.00491907	0.00436983	0.000357511	0.00342517	0.00327344	0.00890323	5.54874e-05	0.00947448	0.0146329	0.0204276	0.000177032	0.00067973	0.0271264	0.00190512	0.00647425	0.0129901	0.0198405	0.00383325	0.00562917	0.00230944	0.00461939	0.0231509	0.0150562	0.0311709	0.00394843	0.00168343	0.0143827	0.0220518	0.00206339	0.00462815	0.0218395	0.00182742	0.00428447	0.00370473	0.0105787	0.000914178	0.000199782	0.0217365	0.00645755	0.00975057	0.00267016	0.017599	0.0133862	0.0237442	0.000486507	0.0125726	0.00278956	0.0331254	0.00197126	0.0107534	0.00281349	0.0272146	0.0106973	0.110096	0.0460581	0.00330089	0.00936854	0.00409422	0.00234574	0.000417637	0.00280603	0.024807	0.0236586	0.00217822	0.000564535	0.0164437	0.00527405	0.0140968	0.00436508	0.0176555	0.0187246	0.0127609	0.0239012	0.00493077	0.00988822	0.0108489	0.0124264	0.00830966	0.00875787	0.00660643	0.00494348	0.00452445	0.00614323	0.00627288	0.015782	0.0127779	0.00198173	0.0164325	0.5933824
252	-435.3918	-593.2299	157.8381	0.178244	0.401856	0.598144	0.821756	1.538536	0.00650781	0.006926	0.00631694	0.00499734	0.000568381	0.00190373	0.00140681	0.0102141	0.00649413	0.0284269	0.00186973	0.0100621	0.0208673	0.00366448	0.011951	0.00494075	0.00844066	0.00760167	0.0113586	0.00666229	0.0174081	0.000761363	0.01398	0.00559605	0.00823073	0.013272	0.00801183	0.00195326	0.00141444	0.00434521	0.00505384	0.00637999	0.00602091	0.00664576	0.00918364	0.0174299	0.00612321	0.00382881	0.00149374	0.0019797	0.00333603	0.0211428	0.0277562	0.000174761	0.0001234	0.022023	0.0363239	0.0128103	0.0033032	0.0239398	0.0730834	0.0157663	0.0146748	0.0109403	0.0197215	0.00653076	0.00192987	0.0158928	0.00174552	0.00240082	0.0174025	0.0192449	0.00873968	0.00464159	0.00263652	0.0216009	0.00510728	0.00791685	0.00418487	0.0124538	0.0273737	0.0121713	0.00346551	0.00923873	0.000836138	0.0106563	0.0128627	0.0185519	0.0197384	0.0125198	0.0207326	0.1275	0.0066439	0.0195048	0.0305241	0.0422224	0.0127999	0.0147432	0.00210796	0.00625741	0.020864	0.530685	0.288717	0.133667	0.046932	0.0704554	0.274236	0.667891	1.49725	3.64649	14.1934	1.918139	0.00566312	0.00602703	0.00549702	0.0043487	0.000494608	0.00165664	0.00122421	0.00888832	0.00565122	0.0247372	0.00162705	0.00875609	0.0181588	0.00318885	0.0103998	0.00429946	0.0073451	0.006615	0.00988428	0.00579755	0.0151486	0.000662541	0.0121654	0.00486971	0.00716242	0.0115493	0.00697193	0.00169973	0.00123085	0.00378122	0.00439787	0.0055519	0.00523942	0.00578316	0.00799164	0.0151676	0.00532845	0.00333184	0.00129985	0.00172274	0.00290303	0.0183985	0.0241536	0.000152078	0.000107383	0.0191645	0.0316092	0.0111475	0.00287445	0.0208325	0.0635974	0.0137199	0.01277	0.00952032	0.0171617	0.0056831	0.00167938	0.01383	0.00151896	0.00208921	0.0151437	0.016747	0.0076053	0.00403913	0.00229431	0.0187972	0.00444438	0.00688928	0.00364169	0.0108373	0.0238207	0.0105916	0.0030157	0.00803958	0.000727611	0.00927312	0.0111932	0.016144	0.0171765	0.0108948	0.0180416	0.110951	0.00578155	0.0169732	0.0265622	0.0367421	0.0111385	0.0128296	0.00183436	0.00544523	0.018156	1.149156
288	-428.2932	-586.4176	158.1245	0.114772	0.368819	0.631181	0.885228	0.9189711	0.00202763	0.054341	0.0044354	0.0321664	0.00180491	0.00113659	0.0159367	0.0238961	0.0205711	0.000625911	0.00849363	0.00484269	0.0305409	0.00426826	0.018897	0.0163345	0.00155456	0.0109138	0.0238304	0.0071267	0.00256853	0.00237534	0.00841675	0.0398109	0.00945121	0.00606272	0.0218194	0.00267546	0.0107034	0.0114586	0.00486629	0.0107811	0.00827183	0.0592033	0.0126406	0.0306022	0.00505781	0.00977453	0.0011201	0.00479797	0.00483518	0.0142447	0.0334581	0.00847109	0.000309273	0.0115703	0.0183426	0.00215521	0.00856846	0.000756647	0.0330356	0.0136693	0.0376975	0.00469301	0.0300625	0.0143076	0.00247566	0.0275389	0.0120639	0.0272995	0.00155677	0.00312865	0.0229448	0.0228894	0.00612509	0.021798	0.0168395	0.00243838	0.0112904	0.0119035	0.0247429	0.0146071	0.0722012	0.0690145	0.00438838	0.00299761	0.0611379	0.0430835	0.0262945	0.00890114	0.0220227	0.189762	0.00785126	0.044275	0.00723245	0.0995847	0.0131384	0.00367811	0.00386373	0.00896969	0.0104479	0.580557	0.292821	0.0990767	0.0275457	0.128025	0.366965	0.731427	1.36719	2.72505	7.81099	1.486291	0.00118515	0.0317623	0.00259249	0.0188012	0.00105497	0.000664334	0.00931498	0.0139672	0.0120238	0.000365845	0.00496452	0.00283055	0.0178511	0.00249479	0.0110453	0.00954749	0.000908638	0.00637913	0.0139288	0.00416555	0.0015013	0.00138838	0.00491958	0.0232694	0.00552422	0.00354365	0.0127534	0.0015638	0.00625616	0.00669754	0.00284434	0.00630154	0.00483488	0.0346043	0.00738841	0.017887	0.00295629	0.00571321	0.000654695	0.00280441	0.00282616	0.00832601	0.0195563	0.00495135	0.00018077	0.00676286	0.0107212	0.00125972	0.00500825	0.000442259	0.0193093	0.00798971	0.0220341	0.00274306	0.0175715	0.00836275	0.00144702	0.0160965	0.00705131	0.0159565	0.000909931	0.0018287	0.0134112	0.0133788	0.00358011	0.0127409	0.00984269	0.00142523	0.00659925	0.0069576	0.0144622	0.00853786	0.0422016	0.0403389	0.00256501	0.0017521	0.0357351	0.0251822	0.0153691	0.00520271	0.0128723	0.110916	0.00458905	0.0258787	0.00422736	0.0582071	0.00767937	0.00214985	0.00225835	0.00524278	0.00610679	1.710866
324	-436.026	-585.931	149.905	0.42592	0.480935	0.519066	0.574079	36.43677	0.00124426	0.0112402	0.00235032	0.00477156	0.000569461	0.00381618	0.00802971	0.00182342	0.00766482	0.00101426	0.00370979	0.0013257	0.00727095	0.000647338	0.00434919	0.00737524	0.000450093	0.0037069	0.000692942	0.0122473	0.00277273	0.00140718	0.000416876	0.00221315	0.00213299	0.00927101	0.00603122	0.00498301	0.00110694	0.00448449	0.00652565	0.00359297	0.00100223	0.00326712	0.00435897	0.00226384	0.00227906	0.00389705	0.00046651	0.000959768	0.00610016	0.00179197	0.00771312	0.000491262	0.00203545	0.00102335	0.0118624	0.000167751	0.000400644	0.00752588	0.0172348	0.00234665	0.00577462	0.00211206	0.00961285	0.00298319	0.000494043	0.00648816	0.000492872	0.000392602	0.0179209	0.000268795	0.00522095	0.00267518	0.00573598	0.00528279	0.000774884	0.00240794	0.000543055	0.00125257	0.00441766	0.00421165	0.00569044	0.00449526	0.000513321	0.000232092	0.00462902	0.0211893	0.0153405	0.000839684	0.00215416	0.0323298	0.0112445	0.0100321	0.00217801	0.0236367	0.00327994	0.000458927	0.00654234	0.00144236	0.00924029	0.221717	0.0541573	0.127642	0.596483	0.030282	0.181664	0.587362	1.70253	5.50465	33.0229	2.528717	0.00282173	0.0254904	0.00533003	0.0108209	0.00129142	0.0086543	0.0182097	0.00413514	0.0173822	0.00230014	0.00841303	0.0030064	0.016489	0.00146803	0.00986307	0.0167255	0.00102072	0.00840647	0.00157145	0.0277744	0.00628798	0.0031912	0.000945388	0.00501896	0.00483717	0.0210247	0.0136776	0.0113004	0.00251031	0.0101699	0.0147988	0.00814812	0.00227285	0.00740916	0.00988525	0.00513391	0.00516843	0.0088377	0.00105795	0.00217656	0.0138339	0.00406381	0.0174918	0.00111408	0.00461598	0.00232074	0.0269014	0.000380425	0.000908578	0.0170671	0.039085	0.00532171	0.0130957	0.00478972	0.0217999	0.00676525	0.00112039	0.0147138	0.00111773	0.00089034	0.0406409	0.000609572	0.01184	0.00606675	0.013008	0.0119803	0.00175728	0.0054607	0.00123154	0.00284056	0.0100183	0.00955116	0.0129047	0.0101943	0.0011641	0.000526336	0.0104976	0.0480529	0.0347892	0.00190423	0.00488519	0.0733173	0.0255002	0.0227508	0.00493927	0.0536032	0.00743822	0.00104075	0.0148367	0.00327097	0.0209551	0.4409574
